lot_id,fascicule,batch_index,n_articles,tokens_articles,tokens_fixe,tokens_total,tokens_output_min,tokens_output_moyen,tokens_output_max,cout_sans_cache_min,cout_avec_cache_min,cout_sans_cache_moyen,cout_avec_cache_moyen,cout_sans_cache_max,cout_avec_cache_max
21,4133872,0,25,12360,8912,21272,673,1173,1673,0.01165,0.00942,0.0124,0.01017,0.01315,0.01092
22,4133872,1,25,8767,8912,17679,680,1180,1680,0.00986,0.00764,0.01061,0.00839,0.01136,0.00914
23,4133872,2,25,6942,8912,15854,687,1187,1687,0.00896,0.00674,0.00971,0.00749,0.01046,0.00824
24,4133872,3,25,14066,8912,22978,705,1205,1705,0.01255,0.01032,0.0133,0.01107,0.01405,0.01182
25,4133872,4,3,762,8912,9674,89,149,209,0.00497,0.00275,0.00506,0.00284,0.00515,0.00293
26,4134119,0,25,8177,8912,17089,674,1174,1674,0.00956,0.00733,0.01031,0.00808,0.01106,0.00883
27,4134119,1,25,8256,8912,17168,680,1180,1680,0.0096,0.00738,0.01035,0.00813,0.0111,0.00888
28,4134119,2,25,9086,8912,17998,682,1182,1682,0.01002,0.0078,0.01077,0.00855,0.01152,0.0093
29,4134119,3,25,7658,8912,16570,705,1205,1705,0.00934,0.00712,0.01009,0.00787,0.01084,0.00862
30,4134119,4,17,7847,8912,16759,481,821,1161,0.0091,0.00688,0.00961,0.00739,0.01012,0.0079
31,4135298,0,25,14629,8912,23541,678,1178,1678,0.01279,0.01057,0.01354,0.01132,0.01429,0.01207
32,4135298,1,25,9589,8912,18501,680,1180,1680,0.01027,0.00805,0.01102,0.0088,0.01177,0.00955
33,4135298,2,25,6086,8912,14998,680,1180,1680,0.00852,0.0063,0.00927,0.00705,0.01002,0.0078
34,4135298,3,25,16665,8912,25577,698,1198,1698,0.01384,0.01161,0.01459,0.01236,0.01534,0.01311
35,4135298,4,15,6935,8912,15847,425,725,1025,0.00856,0.00634,0.00901,0.00679,0.00946,0.00724
